"size";"datatype";"approach";"latency(us)";
16;"half";"gpu";174.38;
16;"bf16";"gpu";172;
32;"half";"gpu";173.74;
32;"bf16";"gpu";173.5;
64;"half";"gpu";177.47;
64;"bf16";"gpu";176.49;
128;"half";"gpu";185.74;
128;"bf16";"gpu";186.37;
256;"half";"gpu";209.36;
256;"bf16";"gpu";211.72;
512;"half";"gpu";282.41;
512;"bf16";"gpu";284.39;
1024;"half";"gpu";999.23;
1024;"bf16";"gpu";1015.59;
2048;"half";"gpu";4637.82;
2048;"bf16";"gpu";4649.75;
4096;"half";"gpu";31236.9;
4096;"bf16";"gpu";32141.8;
